大佬软件,#genre#
拜拜,https://vd2.bdstatic.com/mda-refjgvx7nhrha8js/cae_h264/1747403357338896764/mda-refjgvx7nhrha8js.mp4
再见,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4

再见,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
再见,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts

再见,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts

再见,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts

再见,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts

再见,http://190.14.10.19:16000/play/a045/index.m3u8


再见,http://rhsbjv7k.tvclub.xyz/iptv/N8HKZ3DNUQKK2D/6242/index.m3u8


再见,http://rhsbjv7k.tvclub.xyz/iptv/N8HKZ3DNUQKK2D/6242/index.m3u8


88,https://vd4.bdstatic.com/mda-keck5jhdaagebxkm/v1-cae/mda-keck5jhdaagebxkm.mp4?auth_key=1602762530-0-0-3e02c62e492e00c28c5557d41188d769&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=288&split=391503

88,http://php.jdshipin.com:8880/smt.php?id=j2_twn



4K,http://2099.tv12.xyz/38_1761492187895.m3u8

4K,http://106.53.99.30/tv/bj.php?id=bjws4k
4K,http://106.53.99.30/tv/api.php?id=dfws4k
4K,http://106.53.99.30/tv/api.php?id=hnws4k
4K,http://106.53.99.30/tv/api.php?id=szws4k
4K,http://106.53.99.30/tv/api.php?id=jsws4k
4K,http://106.53.99.30/tv/api.php?id=dfws4k




唱红歌,#genre#
没有共产党就没有新中国,https://res.mq-link.com:4438/webapi/filestore/29c94d7dc5eb7b679c1abe4ac9927905258e014e.mp4?type=video&docid=50ea69&name=%E6%B2%A1%E6%9C%89%E5%85%B1%E4%BA%A7%E5%85%9A%E5%B0%B1%E6%B2%A1%E6%9C%89%E6%96%B0%E4%B8%AD%E5%9B%BD.mp4
义勇軍进行曲,https://res.mq-link.com:4438/webapi/filestore/a0e982bdd91a3fe2021714aa842d246d6051b28e.mp4?type=video&docid=750fff&name=%E4%B9%89%E5%8B%87%E5%86%9B%E8%BF%9B%E8%A1%8C%E6%9B%B2.mp4
社会主义好,https://res.mq-link.com:4438/webapi/filestore/a7b2316f72bed6d626ecc01328faa83c85756c45.mp4?type=video&docid=88bf27&name=%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%A5%BD.mp4
歌唱祖国,https://res.mq-link.com:4438/webapi/filestore/7c60661e08014bcc51cf7f395622c52309c0037a.mp4?type=video&docid=af123c&name=%E6%AD%8C%E5%94%B1%E7%A5%96%E5%9B%BD.mp4
我们走在大路上,https://res.mq-link.com:4438/webapi/filestore/1da7c0cd431c9219abc0fe7ad79196522315ad14.mp4?type=video&docid=fd68b3&name=%E6%88%91%E4%BB%AC%E8%B5%B0%E5%9C%A8%E5%A4%A7%E8%B7%AF%E4%B8%8A.mp4




1没有共产党就没有新中国,https://res.mq-link.com:4438/webapi/filestore/29c94d7dc5eb7b679c1abe4ac9927905258e014e.mp4?type=video&docid=50ea69&name=%E6%B2%A1%E6%9C%89%E5%85%B1%E4%BA%A7%E5%85%9A%E5%B0%B1%E6%B2%A1%E6%9C%89%E6%96%B0%E4%B8%AD%E5%9B%BD.mp4
2义勇軍进行曲,https://res.mq-link.com:4438/webapi/filestore/a0e982bdd91a3fe2021714aa842d246d6051b28e.mp4?type=video&docid=750fff&name=%E4%B9%89%E5%8B%87%E5%86%9B%E8%BF%9B%E8%A1%8C%E6%9B%B2.mp4
3没有共产党就没有新中国,https://res.mq-link.com:4438/webapi/filestore/29c94d7dc5eb7b679c1abe4ac9927905258e014e.mp4?type=video&docid=50ea69&name=%E6%B2%A1%E6%9C%89%E5%85%B1%E4%BA%A7%E5%85%9A%E5%B0%B1%E6%B2%A1%E6%9C%89%E6%96%B0%E4%B8%AD%E5%9B%BD.mp4
4义勇軍进行曲,https://res.mq-link.com:4438/webapi/filestore/a0e982bdd91a3fe2021714aa842d246d6051b28e.mp4?type=video&docid=750fff&name=%E4%B9%89%E5%8B%87%E5%86%9B%E8%BF%9B%E8%A1%8C%E6%9B%B2.mp4
5社会主义好,https://res.mq-link.com:4438/webapi/filestore/a7b2316f72bed6d626ecc01328faa83c85756c45.mp4?type=video&docid=88bf27&name=%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%A5%BD.mp4
6歌唱祖国,https://res.mq-link.com:4438/webapi/filestore/7c60661e08014bcc51cf7f395622c52309c0037a.mp4?type=video&docid=af123c&name=%E6%AD%8C%E5%94%B1%E7%A5%96%E5%9B%BD.mp4
我们走在大路上,https://res.mq-link.com:4438/webapi/filestore/1da7c0cd431c9219abc0fe7ad79196522315ad14.mp4?type=video&docid=fd68b3&name=%E6%88%91%E4%BB%AC%E8%B5%B0%E5%9C%A8%E5%A4%A7%E8%B7%AF%E4%B8%8A.mp4

社会主义好,https://res.mq-link.com:4438/webapi/filestore/a7b2316f72bed6d626ecc01328faa83c85756c45.mp4?type=video&docid=88bf27&name=%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%A5%BD.mp4
歌唱祖国,https://res.mq-link.com:4438/webapi/filestore/7c60661e08014bcc51cf7f395622c52309c0037a.mp4?type=video&docid=af123c&name=%E6%AD%8C%E5%94%B1%E7%A5%96%E5%9B%BD.mp4
我们走在大路上,https://res.mq-link.com:4438/webapi/filestore/1da7c0cd431c9219abc0fe7ad79196522315ad14.mp4?type=video&docid=fd68b3&name=%E6%88%91%E4%BB%AC%E8%B5%B0%E5%9C%A8%E5%A4%A7%E8%B7%AF%E4%B8%8A.mp4





HK测试,#genre#
极限电影,https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanczsstv.flv
